2024-09-24 21:51:53.603 [main] INFO  org.example.Main - Start of Execution
2024-09-24 21:52:02.390 [main] INFO  org.example.Main - START OP: Power
2024-09-24 21:52:02.398 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] 20.0^2.0 = 400.0
2024-09-24 21:52:02.398 [main] INFO  org.example.Main - END OP: Power
2024-09-24 21:55:49.513 [main] INFO  org.example.Main - START OP: Power
2024-09-24 21:55:49.519 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] 2.0^3.0 = 8.0
2024-09-24 21:55:49.519 [main] INFO  org.example.Main - END OP: Power
2024-09-24 21:55:49.519 [main] INFO  org.example.Main - START OP: Power
2024-09-24 21:55:49.519 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] 5.0^0.0 = 1.0
2024-09-24 21:55:49.519 [main] INFO  org.example.Main - END OP: Power
2024-09-24 21:55:49.520 [main] INFO  org.example.Main - START OP: Power
2024-09-24 21:55:49.520 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] 0.0^5.0 = 0.0
2024-09-24 21:55:49.520 [main] INFO  org.example.Main - END OP: Power
2024-09-24 21:55:49.520 [main] INFO  org.example.Main - START OP: Power
2024-09-24 21:55:49.520 [main] INFO  org.example.Main - [POWER OPERATION] [SUCCESS] 0.0^0.0 = 1.0
2024-09-24 21:55:49.520 [main] INFO  org.example.Main - END OP: Power
2024-09-24 21:55:49.521 [main] INFO  org.example.Main - START OP: Factorial
2024-09-24 21:55:49.523 [main] INFO  org.example.Main - [FACTORIAL OPERATION] [SUCCESS] 5! = 120
2024-09-24 21:55:49.523 [main] INFO  org.example.Main - END OP: Factorial
2024-09-24 21:55:49.523 [main] INFO  org.example.Main - START OP: Factorial
2024-09-24 21:55:49.523 [main] INFO  org.example.Main - [FACTORIAL OPERATION] [SUCCESS] 0! = 1
2024-09-24 21:55:49.523 [main] INFO  org.example.Main - END OP: Factorial
2024-09-24 21:55:49.523 [main] INFO  org.example.Main - START OP: Factorial
2024-09-24 21:55:49.523 [main] INFO  org.example.Main - [FACTORIAL OPERATION] [SUCCESS] 1! = 1
2024-09-24 21:55:49.523 [main] INFO  org.example.Main - END OP: Factorial
2024-09-24 21:55:49.524 [main] INFO  org.example.Main - START OP: Natural Logarithm
2024-09-24 21:55:49.527 [main] INFO  org.example.Main - [NATURAL LOG OPERATION] [SUCCESS] ln(2.718281828459045) = 1.0
2024-09-24 21:55:49.527 [main] INFO  org.example.Main - END OP: Natural Logarithm
2024-09-24 21:55:49.527 [main] INFO  org.example.Main - START OP: Natural Logarithm
2024-09-24 21:55:49.527 [main] INFO  org.example.Main - [NATURAL LOG OPERATION] [SUCCESS] ln(1.0) = 0.0
2024-09-24 21:55:49.527 [main] INFO  org.example.Main - END OP: Natural Logarithm
2024-09-24 21:55:49.528 [main] INFO  org.example.Main - START OP: Natural Logarithm
2024-09-24 21:55:49.528 [main] ERROR org.example.Main - Natural log of non-positive numbers is undefined!
2024-09-24 21:55:49.528 [main] INFO  org.example.Main - START OP: Square Root
2024-09-24 21:55:49.529 [main] INFO  org.example.Main - [SQUARE ROOT OPERATION] [SUCCESS] sqrt(16.0) = 4.0
2024-09-24 21:55:49.529 [main] INFO  org.example.Main - END OP: Square Root
2024-09-24 21:55:49.529 [main] INFO  org.example.Main - START OP: Square Root
2024-09-24 21:55:49.529 [main] INFO  org.example.Main - [SQUARE ROOT OPERATION] [SUCCESS] sqrt(0.0) = 0.0
2024-09-24 21:55:49.529 [main] INFO  org.example.Main - END OP: Square Root
2024-09-24 21:55:49.532 [main] INFO  org.example.Main - START OP: Square Root
2024-09-24 21:55:49.533 [main] INFO  org.example.Main - [SQUARE ROOT OPERATION] [SUCCESS] sqrt(25.0) = 5.0
2024-09-24 21:55:49.533 [main] INFO  org.example.Main - END OP: Square Root
